category,source,question,answer,explanation
민법총칙,검수형 안정문항,미성년자가 법정대리인의 동의 없이 한 법률행위라도 단순히 권리만을 얻거나 의무만을 면하는 행위라면 취소할 수 없다.,O,제한능력자 규정의 대표 예외입니다.
민법총칙,검수형 안정문항,비진의표시는 원칙적으로 유효하지만 상대방이 진의 아님을 알았거나 알 수 있었으면 무효이다.,O,비진의표시의 기본 구조입니다.
민법총칙,검수형 안정문항,통정허위표시는 당사자 사이에서는 무효이고 그 무효로 선의의 제3자에게 대항하지 못한다.,O,통정허위표시의 대표적 출제 포인트입니다.
민법총칙,검수형 안정문항,상대방 있는 의사표시에서 상대방이 정당한 이유 없이 수령을 거절하면 언제나 도달하지 않은 것으로 본다.,X,정당한 이유 없는 수령거절은 사회통념상 도달로 볼 수 있습니다.
민법총칙,검수형 안정문항,착오가 법률행위 내용의 중요부분에 관한 것이더라도 표의자에게 중대한 과실이 있으면 원칙적으로 취소할 수 없다.,O,착오취소의 대표 함정입니다.
민법총칙,검수형 안정문항,제3자의 사기에 의한 의사표시는 상대방이 그 사실을 알았거나 알 수 있었을 경우에 취소할 수 있다.,O,제3자 사기에서는 상대방의 악의 또는 과실이 핵심입니다.
민법총칙,검수형 안정문항,무권대리행위는 본인이 추인하면 특별한 사정이 없는 한 계약 시에 소급하여 효력이 생긴다.,O,무권대리 추인의 소급효입니다.
민법총칙,검수형 안정문항,무권대리의 상대방은 본인의 추인이 있기 전에는 원칙적으로 철회할 수 있으나 계약 당시 무권대리임을 안 경우에는 철회할 수 없다.,O,상대방 철회권은 선의의 상대방을 보호하기 위한 제도입니다.
민법총칙,검수형 안정문항,시효의 이익은 시효가 완성되기 전에도 미리 포기할 수 있다.,X,시효완성 전 시효이익 포기는 허용되지 않습니다.
민법총칙,검수형 안정문항,무효인 법률행위는 추인하여도 원칙적으로 유효하게 되지 않는다.,O,무효와 취소를 구별하는 기본 문제입니다.
물권법,검수형 안정문항,부동산에 관한 법률행위로 인한 물권변동은 등기하여야 그 효력이 생긴다.,O,민법 제186조의 기본 원칙입니다.
물권법,검수형 안정문항,점유자는 소유의 의사로 선의 평온 및 공연하게 점유한 것으로 추정된다.,O,점유의 추정력은 취득시효 문제에서 자주 나옵니다.
물권법,검수형 안정문항,점유취득시효가 인정되려면 자주점유가 필요하다.,O,타주점유로는 점유취득시효가 완성되지 않습니다.
물권법,검수형 안정문항,점유보조자는 독립한 점유권을 가진다.,X,점유보조자는 점유자가 아닙니다.
물권법,검수형 안정문항,소유권에 기한 물권적 청구권은 반환청구권 방해제거청구권 방해예방청구권으로 구분된다.,O,물권적 청구권의 기본 분류입니다.
물권법,검수형 안정문항,공유자는 다른 공유자의 동의 없이 자기 지분을 처분할 수 없다.,X,공유자는 자기 지분을 자유롭게 처분할 수 있습니다.
물권법,검수형 안정문항,공유물의 보존행위는 각 공유자가 단독으로 할 수 있다.,O,보존행위는 단독 가능하고 관리는 지분 과반수입니다.
물권법,검수형 안정문항,공유물의 관리에 관한 사항은 공유자 전원의 동의가 있어야만 정할 수 있다.,X,공유물 관리는 지분의 과반수로 결정합니다.
물권법,검수형 안정문항,유치권이 성립하려면 채권과 목적물 사이의 견련관계가 필요하다.,O,유치권의 핵심 요건입니다.
물권법,검수형 안정문항,유치권자는 목적물의 점유를 상실하여도 피담보채권이 남아 있으면 유치권을 계속 행사할 수 있다.,X,유치권은 점유를 요건으로 하므로 점유 상실 시 소멸합니다.
채권법,검수형 안정문항,채무불이행으로 인한 손해배상책임은 원칙적으로 채무자의 귀책사유를 필요로 한다.,O,채무불이행 책임의 기본 요건입니다.
채권법,검수형 안정문항,금전채무자는 불가항력을 이유로 이행지체 책임을 면할 수 있다.,X,금전채무 불이행에서는 불가항력 항변이 원칙적으로 인정되지 않습니다.
채권법,검수형 안정문항,동시이행항변권은 상대방의 청구권 자체를 소멸시키는 권리이다.,X,동시이행항변권은 이행거절권이지 청구권 소멸 사유가 아닙니다.
